Task,Dataset,name,accuracy,accuracy_norm,params,tags,id
Image Classification,ImageNet,Adlik-ViT-SG+Swin_large+Convnext_xlarge(384),88.36,0.8794029850746267,1827000000.0,0,2201.03545v2
Image Classification,ImageNet,V-MoE-H/14 (Every-2),88.36,0.8794029850746267,7200000000.0,"'JFT-300M', 'Transformer'",2106.05974v1
Image Classification,ImageNet,"MaxViT-L (384res, 21K)",88.32,0.8782089552238802,0.0,'ImageNet-22k',2204.01697v4
Image Classification,ImageNet,Unicom (ViT-L/14@336px) (Finetuned),88.3,0.8776119402985072,0.0,0,2304.05884v1
Image Classification,ImageNet,"MaxViT-B (384res, 21K)",88.24,0.8758208955223877,0.0,'ImageNet-22k',2204.01697v4
Image Classification,ImageNet,V-MoE-H/14 (Last-5),88.23,0.8755223880597015,2700000000.0,"'JFT-300M', 'Transformer'",2106.05974v1
Image Classification,ImageNet,dBOT ViT-H (CLIP as Teacher),88.2,0.8746268656716417,0.0,'CLIP data ',2209.03917v3
Image Classification,ImageNet,"CAFormer-B36 (384 res, 21K)",88.1,0.8716417910447758,99000000.0,'ImageNet-22k',2210.13452v3
Image Classification,ImageNet,VIT-H/14,88.08,0.8710447761194028,656000000.0,"'JFT-300M', 'Transformer'",2106.05974v1
Image Classification,ImageNet,ViT-H@224 (cosub),88.0,0.8686567164179103,0.0,'ImageNet-22k',2212.04884v1
Image Classification,ImageNet,UniRepLKNet-XL++,88.0,0.8686567164179103,0.0,0,2311.15599v2
Image Classification,ImageNet,InternImage-XL,88.0,0.8686567164179103,335000000.0,0,2211.05778v4
Image Classification,ImageNet,MViTv2-H (mageNet-21k pretrain),88.0,0.8686567164179103,667000000.0,'ImageNet-22k',2112.01526v2
Image Classification,ImageNet,Mixer-H/14 (JFT-300M pre-train),87.94,0.8668656716417908,0.0,"'JFT-300M', 'MLP'",2105.01601v4
Image Classification,ImageNet,UniRepLKNet-L++,87.9,0.8656716417910448,0.0,0,2311.15599v2
Image Classification,ImageNet,dBOT ViT-L (CLIP as Teacher),87.8,0.8626865671641789,0.0,'CLIP data ',2209.03917v3
Image Classification,ImageNet,MogaNet-XL (384res),87.8,0.8626865671641789,181000000.0,0,2211.03295v3
Image Classification,ImageNet,"VAN-B6 (22K, 384res)",87.8,0.8626865671641789,200000000.0,'ImageNet-22k',2202.09741v5
Image Classification,ImageNet,RepLKNet-XL,87.8,0.8626865671641789,335000000.0,'ImageNet-22k',2203.06717v4
Image Classification,ImageNet,ConvNeXt-XL (ImageNet-22k),87.8,0.8626865671641789,350000000.0,"'CNN', 'ImageNet-22k'",2201.03545v2
Image Classification,ImageNet,"MAE (ViT-H, 448)",87.8,0.8626865671641789,656000000.0,"'Transformer', 'ImageNet-1k only'",2111.06377v2
Image Classification,ImageNet,ViT-L/16,87.76,0.8614925373134329,0.0,"'JFT-300M', 'Transformer'",2010.11929v2
Image Classification,ImageNet,HorNet-L (GF),87.7,0.8597014925373134,0.0,'ImageNet-22k',2207.14284v3
Image Classification,ImageNet,InternImage-L,87.7,0.8597014925373134,223000000.0,0,2211.05778v4
Image Classification,ImageNet,"ConvFormer-B36 (384 res, 21K)",87.6,0.8567164179104475,100000000.0,'ImageNet-22k',2210.13452v3
Image Classification,ImageNet,BiT-L (ResNet),87.54,0.8549253731343284,0.0,"'ImageNet-22k', 'ResNet'",1912.11370v3
Image Classification,ImageNet,ViT-L@224 (cosub),87.5,0.8537313432835819,0.0,'ImageNet-22k',2212.04884v1
Image Classification,ImageNet,"CAFormer-M36 (384 res, 21K)",87.5,0.8537313432835819,56000000.0,'ImageNet-22k',2210.13452v3
Image Classification,ImageNet,"CSWin-L (384 res,ImageNet-22k pretrain)",87.5,0.8537313432835819,173000000.0,"'ImageNet-22k', 'Transformer'",2107.00652v3
Image Classification,ImageNet,DaViT-L (ImageNet-22k),87.5,0.8537313432835819,196800000.0,'ImageNet-22k',2204.03645v1
Image Classification,ImageNet,DiNAT-Large (11x11ks; 384res; Pretrained on IN22K@224),87.5,0.8537313432835819,200000000.0,'ImageNet-22k',2209.15001v3
Image Classification,ImageNet,V-MoE-L/16 (Every-2),87.41,0.8510447761194028,3400000000.0,"'JFT-300M', 'Transformer'",2106.05974v1
Image Classification,ImageNet,DiNAT-Large (384x384; Pretrained on ImageNet-22K @ 224x224),87.4,0.8507462686567164,0.0,'ImageNet-22k',2209.15001v3
Image Classification,ImageNet,UniRepLKNet-B++,87.4,0.8507462686567164,0.0,0,2311.15599v2
Image Classification,ImageNet,"CAFormer-B36 (224 res, 21K)",87.4,0.8507462686567164,99000000.0,'ImageNet-22k',2210.13452v3
Image Classification,ImageNet,UniNet-B6,87.4,0.8507462686567164,117000000.0,'ImageNet-22k',2207.05420v2
Image Classification,ImageNet,DiNAT_s-Large (384res; Pretrained on IN22K@224),87.4,0.8507462686567164,197000000.0,'ImageNet-22k',2209.15001v3
Image Classification,ImageNet,Swin-L,87.3,0.8477611940298505,197000000.0,'Transformer',2103.14030v2
Image Classification,ImageNet,VOLO-D5+HAT,87.3,0.8477611940298505,295500000.0,"'ImageNet-1k only', 'Transformer'",2204.00993v3
Image Classification,ImageNet,EfficientNetV2 (PolyLoss),87.2,0.844776119402985,0.0,0,2204.12511v2
Image Classification,ImageNet,ELSA-VOLO-D5 (512*512),87.2,0.844776119402985,298000000.0,"'Transformer', 'ImageNet-1k only'",2112.12786v1
Image Classification,ImageNet,Bamboo (Bamboo-H),87.1,0.8417910447761191,0.0,'ImageNet-1k only',2205.10505v3
Image Classification,ImageNet,Swin-L@224 (cosub),87.1,0.8417910447761191,0.0,'ImageNet-22k',2212.04884v1
Image Classification,ImageNet,FixEfficientNet-B7,87.1,0.8417910447761191,66000000.0,"'JFT-300M', 'EfficientNet'",2003.08237v5
Image Classification,ImageNet,FAN-L-Hybrid++,87.1,0.8417910447761191,76800000.0,0,2204.12451v4
Image Classification,ImageNet,SwinV2-B,87.1,0.8417910447761191,88000000.0,0,2111.09883v2
Image Classification,ImageNet,VOLO-D5,87.1,0.8417910447761191,296000000.0,'ImageNet-1k only',2106.13112v2
Image Classification,ImageNet,16-TokenLearner B/16 (21),87.07,0.8408955223880593,0.0,"'Transformer', 'JFT-300M'",2106.11297v4
Image Classification,ImageNet,MAE+DAT (ViT-H),87.02,0.8394029850746266,0.0,0,2209.07735v1
Image Classification,ImageNet,UniNet-B5,87.0,0.8388059701492536,72900000.0,'ImageNet-22k',2207.05420v2
Image Classification,ImageNet,"VAN-B5 (22K, 384res)",87.0,0.8388059701492536,90000000.0,0,2202.09741v5
Image Classification,ImageNet,"ConvFormer-B36 (224 res, 21K)",87.0,0.8388059701492536,100000000.0,'ImageNet-22k',2210.13452v3
Image Classification,ImageNet,MAE (ViT-H),86.9,0.8358208955223881,0.0,"'Transformer', 'ImageNet-1k only'",2111.06377v2
Image Classification,ImageNet,Hiera-H,86.9,0.8358208955223881,0.0,"'ImageNet-1k only', 'Transformer'",2306.00989v1
Image Classification,ImageNet,"CAFormer-S36 (384 res, 21K)",86.9,0.8358208955223881,39000000.0,'ImageNet-22k',2210.13452v3
Image Classification,ImageNet,"ConvFormer-M36 (384 res, 21K)",86.9,0.8358208955223881,57000000.0,'ImageNet-22k',2210.13452v3
Image Classification,ImageNet,NoisyStudent (EfficientNet-B7),86.9,0.8358208955223881,66000000.0,"'JFT-300M', 'EfficientNet'",1911.04252v4
Image Classification,ImageNet,NoisyStudent (EfficientNet-B7),86.9,0.8358208955223881,66000000.0,"'JFT-300M', 'EfficientNet'",1911.04252v4
Image Classification,ImageNet,DaViT-B (ImageNet-22k),86.9,0.8358208955223881,87900000.0,0,2204.03645v1
Image Classification,ImageNet,EfficientNetV2L,86.8,0.8328358208955222,121000000.0,"'ImageNet-22k', 'EfficientNet'",2104.00298v3
Image Classification,ImageNet,VOLO-D4,86.8,0.8328358208955222,193000000.0,'ImageNet-1k only',2106.13112v2
Image Classification,ImageNet,NFNet-F5 w/ SAM w/ augmult=16,86.78,0.8322388059701491,377200000.0,"'CNN', 'ImageNet-1k only'",2105.13343v2
Image Classification,ImageNet,\u00b52Net (ViT-L/16),86.74,0.8310447761194028,0.0,'ImageNet-22k',2205.12755v6
Image Classification,ImageNet,"ViT-B @384 (DeiT III, 21k)",86.7,0.8298507462686566,0.0,'ImageNet-22k',2204.07118v1
Image Classification,ImageNet,MaxViT-L (512res),86.7,0.8298507462686566,0.0,0,2204.01697v4
Image Classification,ImageNet,FixEfficientNet-B6,86.7,0.8298507462686566,43000000.0,"'JFT-300M', 'EfficientNet'",2003.08237v5
Image Classification,ImageNet,MOAT-3 1K only,86.7,0.8298507462686566,190000000.0,0,2210.01820v2
Image Classification,ImageNet,Heinsen Routing + BEiT-large 16 224,86.7,0.8298507462686566,312800000.0,"'Transformer', 'ImageNet-1k only'",2211.11754v3
Image Classification,ImageNet,CLCNet (S:ViT+D:EffNet-B7) (retrain),86.61,0.8271641791044775,0.0,'ImageNet-1k only',2205.09612v5
Image Classification,ImageNet,"CAFormer-M36 (224 res, 21K)",86.6,0.8268656716417907,56000000.0,'ImageNet-22k',2210.13452v3
Image Classification,ImageNet,"VAN-B4 (22K, 384res)",86.6,0.8268656716417907,60000000.0,0,2202.09741v5
Image Classification,ImageNet,data2vec (ViT-H),86.6,0.8268656716417907,656000000.0,'ImageNet-1k only',2202.03555v3
Image Classification,ImageNet,DiNAT_s-Large (224x224; Pretrained on ImageNet-22K @ 224x224),86.5,0.8238805970149252,0.0,'ImageNet-22k',2209.15001v3
Image Classification,ImageNet,MKD ViT-L,86.5,0.8238805970149252,0.0,"'Teacher-22k', 'ImageNet-22k'",2202.07940v1
Image Classification,ImageNet,"TinyViT-21M-512-distill (512 res, 21k)",86.5,0.8238805970149252,21000000.0,"'ImageNet-22k', 'Transformer'",2207.10666v1
